auction_number,timestamp,deep_agent,cap_bestx1_balanced,cap_bestx1_aggressive,cap_tier,dynamic_cap_bestx1_balanced,dynamic_cap_bestx1_aggressive,dynamic_cap_tier,random_1
89,2025-08-05 18:55:07.084625,2.984168865435356,3.12401055408971,2.941952506596306,2.1846965699208445,3.108179419525066,2.8891820580474934,2.717678100263852,2.422163588390501
90,2025-08-05 18:55:09.066748,2.984168865435356,3.3825857519788918,2.9604221635883907,2.6147757255936677,2.715039577836412,2.79155672823219,2.7730870712401052,2.3641160949868074
91,2025-08-05 18:55:11.037089,2.984168865435356,3.3799472295514508,2.786279683377309,2.783641160949869,2.8891820580474934,2.746701846965699,2.7968337730870716,1.6569920844327177
92,2025-08-05 18:55:12.968044,2.984168865435356,3.2348284960422165,2.7387862796833775,2.736147757255937,2.675461741424802,2.8311345646437993,2.941952506596306,2.102902374670185
93,2025-08-05 18:55:14.598811,2.984168865435356,3.348284960422163,2.701846965699209,2.482849604221636,2.7282321899736144,2.807387862796834,2.9525065963060686,2.0474934036939314
94,2025-08-05 18:55:16.373784,2.984168865435356,3.2058047493403694,2.9102902374670188,2.686015831134565,2.8021108179419523,2.815303430079156,2.754617414248021,1.8786279683377307
95,2025-08-05 18:55:18.271831,2.984168865435356,3.184696569920844,2.8390501319261214,2.559366754617414,2.8680738786279685,2.8390501319261214,2.7150395778364116,1.9261213720316623
96,2025-08-05 18:55:20.087664,2.984168865435356,3.345646437994723,2.7757255936675462,2.5224274406332454,2.965699208443272,2.781002638522428,2.680738786279683,2.1266490765171504
97,2025-08-05 18:55:22.056462,2.984168865435356,3.395778364116095,3.0923482849604222,2.6543535620052774,2.7625329815303425,2.678100263852243,2.7519788918205803,2.1266490765171504
98,2025-08-05 18:55:24.004733,2.984168865435356,3.097625329815303,2.6094986807387865,2.712401055408971,2.868073878627968,2.704485488126649,2.8707124010554095,2.221635883905013
99,2025-08-05 18:55:25.989047,2.984168865435356,3.398416886543535,2.627968337730871,2.907651715039578,2.949868073878628,2.7071240105540895,2.7308707124010554,2.279683377308707
100,2025-08-05 18:55:28.156954,2.984168865435356,3.171503957783641,2.7836411609498684,2.981530343007916,2.7704485488126647,2.8812664907651717,2.778364116094987,2.036939313984169
101,2025-08-05 18:55:29.636336,2.984168865435356,3.229551451187335,2.9208443271767814,2.770448548812665,2.575197889182058,2.3984168865435356,2.804749340369393,2.316622691292876
102,2025-08-05 18:55:30.892738,2.984168865435356,3.3957783641160946,2.730870712401055,2.9340369393139847,2.8786279683377307,2.744063324538259,2.8021108179419527,2.137203166226913
103,2025-08-05 18:55:32.228171,2.984168865435356,3.4142480211081794,2.6860158311345645,2.9234828496042216,2.675461741424802,2.7941952506596306,2.7176781002638526,2.174142480211082
104,2025-08-05 18:55:33.446878,2.984168865435356,3.4168865435356204,2.5013192612137205,2.1556728232189974,2.7229551451187333,2.8232189973614776,3.16622691292876,2.3720316622691295
105,2025-08-05 18:55:34.451802,2.984168865435356,3.4195250659630605,2.5514511873350925,2.9340369393139842,2.7519788918205808,2.973614775725594,2.8575197889182054,1.8522427440633247
106,2025-08-05 18:55:35.595644,2.984168865435356,3.2401055408970976,3.0131926121372032,2.709762532981531,2.8153034300791555,2.807387862796834,2.865435356200528,1.804749340369393
